a_sabun_air_mengalir,guru_agama_budi_pekerti,guru_bahasa_indonesia,guru_bahasa_inggris,guru_kelas,guru_matematika,guru_penjaskes,guru_pkn,guru_sejarah_indonesia,guru_seni_budaya,identitas_valid,jml_jamban_digunakan,jml_jamban_tidak_digunakan,jml_lab_x,jml_perpus_x,jml_rk_x,jml_wastafel,jumlah_kirim_x,kecukupan_air,ketersediaan_air,memproses_air,minum_siswa,pd_x,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_laki,pd_perempuan,pd_valid,pegawai_x,pegawai_laki,pegawai_perempuan,prasarana_valid,ptk_x,ptk_laki,ptk_perempuan,ptk_valid,rombel_x,siswa_bawa_air,sumber_air_str,tipe_jamban,toilet_siswa_kk,total_valid,sekolah_id_enkrip,bentuk_pendidikan,induk_kabupaten,induk_kecamatan,induk_provinsi,jml_lab_y,jml_perpus_y,jml_rk_y,jumlah_kirim_y,kode_wilayah_induk_kabupaten,kode_wilayah_induk_kecamatan,kode_wilayah_induk_provinsi,nama,npsn,pd_y,pegawai_y,ptk_y,rombel_y,sekolah_id,sinkron_terakhir,status_sekolah
Ya,0,0,0,0,0,0,0,0,0,100.0,8,0,1,1,6,6,13,Cukup,Ya,Tidak,Tidak disediakan,146,0,0,0,0,0,0,0,0,7,8,16,12,14,12,14,12,14,12,5,20,0,0,0,0,0,0,70,76,0,3,2,1,100.0,7,1,6,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,B4468C8C4A7AB27D7D38                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,13,040200  ,040208  ,040000  ,SD NEGERI PENDEMSARI,20400914,146,3,7,6,3026875C-2EF5-E011-9754-5D7197C45DB6,24 Mar 2019 19:13:34,Negeri
Tidak,0,0,0,0,0,0,0,0,0,100.0,4,0,1,1,6,7,15,Cukup,Ya,Tidak,Tidak disediakan,166,0,0,0,0,0,0,0,0,12,15,14,17,15,15,16,12,13,12,7,18,0,0,0,0,0,0,77,89,0,3,1,2,100.0,9,1,8,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,F4E469A8A0B5EEAEEE8C                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,15,040200  ,040208  ,040000  ,SD NEGERI SUMBER 1,20400847,166,3,9,6,A0BC865C-2EF5-E011-A444-251C69931D8C,10 Apr 2019 12:54:29,Negeri
Tidak,0,0,0,0,0,0,0,0,0,100.0,2,0,0,1,6,4,9,Cukup,Ya,Tidak,Tidak disediakan,114,0,0,0,0,0,0,0,0,6,10,11,5,9,15,10,13,9,7,5,14,0,0,0,0,0,0,50,64,0,2,2,0,92.86,7,2,5,0,6,Ya,Pompa,Leher angsa (toilet duduk/jongkok),0,48.22,592B949A61C84E16633A                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,9,040200  ,040208  ,040000  ,SD NEGERI SUMBER 2,20400846,114,2,7,6,50CA865C-2EF5-E011-B80E-EDF07E2187D6,25 Mar 2019 12:39:06,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,10,2,1,1,6,8,15,Cukup,Ya,Ya,Disediakan sekolah,180,0,0,0,0,0,0,0,0,11,17,15,13,20,13,20,9,10,18,17,17,0,0,0,0,0,0,93,87,0,4,1,3,100.0,10,7,3,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,8522CC7A90E05A59E485                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,15,040200  ,040208  ,040000  ,SD NEGERI TANJUNGTIRTO 1,20400807,180,4,10,6,0097865C-2EF5-E011-9EBD-090E002F10A6,23 Apr 2019 19:54:52,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,4,0,0,1,6,11,15,Cukup,Ya,Tidak,Tidak disediakan,169,0,0,0,0,0,0,0,0,14,14,14,17,13,15,11,19,21,5,10,16,0,0,0,0,0,0,83,86,0,3,1,2,100.0,8,4,4,0,6,Ya,Pompa,Leher angsa (toilet duduk/jongkok),0,50.0,445099707CC6DB770EF6                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,15,040200  ,040208  ,040000  ,SD NEGERI TANJUNGTIRTO 2,20400806,169,3,8,6,00AA865C-2EF5-E011-95DD-D9F7E8F0CBAA,20 Apr 2019 07:31:11,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,15,0,1,2,11,4,6,Cukup,Ya,Ya,Disediakan sekolah,251,0,0,0,0,0,0,0,0,30,21,21,21,31,13,31,14,25,18,15,11,0,0,0,0,0,0,153,98,0,7,5,2,100.0,17,7,10,0,11,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,57A8FDDE813B6ED12463                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,2,11,6,040200  ,040208  ,040000  ,SD KANISIUS MANGUNAN,20401522,251,7,17,11,7087C35C-2EF5-E011-842E-87FE79C7B256,08 Apr 2019 07:23:54,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,4,0,1,1,6,3,15,Cukup,Ya,Tidak,Tidak disediakan,135,0,0,0,0,0,0,0,0,18,11,8,11,11,12,7,9,11,8,11,18,0,0,0,0,0,0,66,69,0,4,3,1,100.0,6,1,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,E72DBB8F6169DD9DDF34                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,15,040200  ,040208  ,040000  ,SD KANISIUS PONDOK,20401518,135,4,6,6,D06DC35C-2EF5-E011-9A2C-ED0249B01B76,16 Apr 2019 08:16:59,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,6,0,0,1,6,4,7,Cukup,Ya,Ya,Tidak disediakan,133,0,0,0,0,0,0,0,0,15,16,14,15,6,10,5,8,11,7,12,14,0,0,0,0,0,0,63,70,0,2,0,2,100.0,9,2,7,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,8A2AD87CDBFBBCEE81E2                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,7,040200  ,040208  ,040000  ,SD MUHAMMADIYAH BULU,20401499,133,2,9,6,A07AC35C-2EF5-E011-9A55-3DA3125018D5,14 Mar 2019 09:46:15,Swasta
Tidak,0,0,0,0,0,0,0,0,0,100.0,6,5,2,1,12,10,24,Cukup,Ya,Ya,Disediakan sekolah,299,0,0,0,0,0,0,0,0,25,18,27,24,27,27,30,28,24,18,27,24,0,0,0,0,0,0,160,139,0,4,2,2,100.0,16,3,13,0,12,Ya,Sumur terlindungi,Cubluk tanpa tutup,0,50.0,20616109D1457244410E                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,1,12,24,040200  ,040208  ,040000  ,SD MUHAMMADIYAH KARANGHARJO,20401361,299,4,16,12,F060C35C-2EF5-E011-830F-AD7B4556C458,24 Apr 2019 12:15:59,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,8,0,0,1,8,5,15,Cukup,Ya,Ya,Disediakan sekolah,229,0,0,0,0,0,0,0,0,25,25,26,19,17,23,14,18,11,15,13,23,0,0,0,0,0,0,106,123,0,4,2,2,100.0,12,1,11,0,8,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,977391D0F130F64CDEC4                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,8,15,040200  ,040208  ,040000  ,SD MUHAMMADIYAH NOYOKERTEN,20401332,229,4,12,8,8039C35C-2EF5-E011-9864-1DB1A37FAC6A,16 Apr 2019 09:54:26,Swasta
